,0,1,2,3
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,2,0,2,0
7,2,0,2,0
8,2,0,2,0
9,3,0,4,0
10,3,0,4,0
11,4,3,4,2
12,4,1,5,0
13,4,0,5,0
14,5,0,7,2
15,5,0,7,0
16,7,0,8,0
17,8,0,11,0
18,10,0,11,1
19,10,1,11,0
20,10,0,12,0
21,11,0,12,0
22,11,1,13,0
23,11,0,13,0
24,13,0,13,1
25,13,0,13,0
26,13,0,13,0
27,13,1,13,0
28,13,0,13,0
29,13,0,13,0
30,13,1,13,0
31,13,0,13,1
32,13,1,13,0
33,13,0,13,0
34,13,0,13,0
35,13,0,13,2
36,13,0,13,0
37,13,2,13,0
38,13,1,13,0
39,13,1,13,1
40,13,2,13,2
41,10,4,13,2
42,6,0,13,0
43,0,0,13,0
44,0,0,13,0
45,0,0,13,2
46,0,0,13,0
47,0,0,13,2
48,0,1,13,0
49,0,1,13,0
50,0,0,13,2
51,0,0,13,0
52,0,0,13,0
53,0,0,13,0
54,0,2,11,2
55,0,2,10,2
56,8,0,1,0
57,7,0,0,1
58,4,0,0,1
59,3,0,0,1
60,0,0,0,1
61,0,0,0,1
62,0,1,0,2
63,0,1,1,2
64,0,2,0,2
65,8,0,1,0
66,6,0,0,0
67,0,0,2,0
68,0,0,3,0
69,0,0,3,0
70,1,0,4,0
71,3,1,4,0
72,2,2,0,0
73,2,2,0,0
74,5,0,0,0
75,0,0,0,2
76,0,1,0,2
77,0,1,0,2
78,0,2,2,4
79,0,5,0,4
80,0,0,0,0
81,0,0,1,0
82,0,0,0,0
83,0,0,0,1
84,0,0,0,1
85,2,0,2,0
86,0,1,0,0
87,2,0,1,2
88,1,0,1,2
89,2,0,0,2
90,1,2,1,2
91,1,0,2,0
92,4,0,0,0
93,5,1,1,0
94,5,0,1,0
95,0,0,0,0
96,0,0,0,1
97,0,0,0,2
98,0,0,0,2
99,1,0,0,3
100,1,0,0,3
101,0,0,2,3
102,0,1,0,3
103,0,3,0,3
104,1,0,3,0
105,0,0,2,1
106,0,0,0,3
107,0,0,1,0
108,0,0,0,0
109,1,0,0,0
110,1,0,2,0
111,0,4,0,0
112,2,0,3,1
113,2,1,4,0
114,0,1,0,1
115,3,1,0,1
116,4,0,0,0
117,0,0,2,0
118,0,1,0,0
119,1,0,1,0
120,1,0,1,0
121,0,1,0,1
122,2,0,4,0
123,0,0,0,2
124,1,0,1,2
125,0,0,0,4
126,0,0,0,4
127,1,0,1,4
128,1,0,0,4
129,0,1,0,5
130,2,0,1,0
131,4,0,1,1
132,0,0,0,1
133,0,0,0,3
134,0,0,0,3
135,1,0,2,3
136,1,0,2,0
137,0,0,1,0
138,2,1,1,0
139,0,1,0,0
140,2,0,1,0
141,0,1,0,1
142,0,0,2,0
143,3,0,2,0
144,3,0,3,0
145,0,0,3,1
146,0,0,1,2
147,0,0,1,2
148,2,1,1,2
149,0,1,3,2
150,0,1,2,2
151,0,1,3,2
152,1,3,2,2
153,1,0,5,0
154,0,0,2,0
155,0,0,1,0
156,0,0,0,2
157,2,1,0,4
158,2,0,2,0
159,4,0,4,0
160,0,3,0,0
161,0,3,0,0
162,2,0,2,0
163,2,0,0,1
164,2,0,0,1
165,0,0,2,3
166,0,0,3,4
167,2,1,1,4
168,0,3,2,4
169,0,3,3,4
170,4,3,0,4
171,1,3,0,4
172,1,3,1,4
173,1,0,1,0
174,1,0,1,0
175,0,0,0,2
176,0,0,1,0
177,0,0,0,0
178,1,0,1,0
179,0,0,3,0
180,0,2,0,0
181,1,3,0,0
182,1,1,0,2
183,1,1,2,2
184,0,1,2,4
185,0,2,0,4
186,1,0,0,0
187,1,0,1,1
188,0,0,1,1
189,1,0,0,1
190,1,1,0,0
191,5,0,1,0
192,0,0,0,0
193,0,0,0,0
194,0,0,2,2
195,0,1,2,2
196,0,1,1,4
197,0,0,3,0
198,1,0,3,0
199,0,0,0,0
200,0,0,0,0
201,0,0,0,0
202,1,0,2,0
203,0,0,0,0
204,1,0,0,1
205,4,0,1,2
206,0,0,0,3
207,0,0,1,3
208,0,0,2,4
209,0,0,0,4
210,2,0,0,0
211,2,0,1,0
212,0,0,0,0
213,0,1,0,1
214,0,0,0,0
215,0,0,1,0
216,0,0,0,0
217,0,0,1,1
218,0,1,0,4
219,1,0,3,0
220,2,0,3,0
221,0,0,0,0
222,0,1,0,0
223,1,0,0,1
224,0,1,0,2
225,1,1,2,3
226,0,1,0,3
227,1,0,1,0
228,0,1,1,0
229,2,2,2,0
230,1,2,0,1
231,3,0,0,0
232,0,0,1,0
233,0,0,0,0
234,1,0,1,0
235,0,0,1,1
236,0,2,0,1
237,2,0,0,0
238,2,0,0,1
239,1,1,0,2
240,1,1,1,0
241,1,1,0,0
242,2,1,1,0
243,1,2,0,0
244,4,0,0,0
245,0,1,0,1
246,0,1,0,1
247,2,0,0,0
248,0,0,1,0
249,0,2,0,0
250,2,0,1,0
251,0,0,1,0
252,1,1,0,0
253,0,2,0,0
254,1,0,1,0
255,0,0,1,0
256,0,1,1,1
257,2,1,0,1
258,2,0,3,0
259,0,0,0,4
260,0,1,0,4
261,2,0,0,0
262,4,0,0,0
263,0,0,0,0
264,0,0,1,0
265,0,0,0,1
266,3,0,2,0
267,0,2,3,0
268,0,2,2,0
269,0,2,5,0
270,2,2,1,0
271,1,3,1,0
272,1,0,3,0
273,3,0,0,0
274,2,0,2,1
275,2,1,1,1
276,2,1,1,2
277,0,1,0,2
278,2,0,1,0
279,0,0,0,0
280,0,0,0,1
281,0,0,1,1
282,0,0,0,2
283,0,0,0,2
284,1,2,2,0
285,0,4,0,0
286,0,0,1,0
287,1,0,1,0
288,0,0,0,0
289,1,0,3,0
290,0,0,0,0
291,0,0,1,0
292,3,0,0,0
293,0,1,0,0
294,1,0,1,2
295,0,2,0,2
296,0,0,1,0
297,2,1,1,1
298,0,1,0,1
299,0,0,2,0
300,3,0,0,0
301,0,0,0,0
302,1,0,0,0
303,0,0,0,0
304,0,2,1,1
305,1,1,3,1
306,0,3,0,1
307,0,0,1,0
308,0,0,1,0
309,2,0,0,0
310,0,0,1,1
311,3,0,1,1
312,0,0,1,1
313,1,0,0,1
314,0,0,1,3
315,2,0,1,0
316,1,2,0,0
317,2,0,0,1
318,2,0,0,3
319,0,0,2,3
320,0,0,1,3
321,1,2,3,3
322,0,2,3,3
323,0,2,0,5
324,0,2,2,0
325,1,0,2,0
326,0,0,1,0
327,2,0,0,1
328,1,0,0,1
329,3,0,1,1
330,1,0,0,1
331,1,0,3,1
332,0,4,1,3
333,0,0,2,0
334,0,0,3,0
335,0,0,0,0
336,0,0,0,2
337,0,0,0,2
338,2,2,0,0
339,2,2,0,0
340,1,2,0,0
341,2,0,1,1
342,0,0,1,1
343,2,0,1,1
344,1,1,0,1
345,1,0,1,0
346,2,0,0,0
347,1,2,0,2
348,4,0,1,0
349,0,0,0,1
350,0,0,1,3
351,0,0,2,0
352,0,0,0,0
353,0,0,1,0
354,0,2,0,0
355,0,0,0,0
356,1,0,1,0
357,1,0,0,1
358,0,3,0,1
359,1,0,1,0
360,0,0,1,1
361,0,0,0,1
362,0,0,1,0
363,2,0,0,0
364,0,0,0,0
365,0,0,0,0
366,2,4,0,1
367,2,0,1,0
368,3,0,2,1
369,0,0,0,1
370,2,0,0,0
371,0,0,0,0
372,1,0,0,0
373,0,2,0,0
374,1,0,1,0
375,0,1,0,1
376,0,0,0,0
377,0,0,0,0
378,1,0,0,0
379,0,0,0,1
380,1,0,0,1
381,0,0,0,1
382,2,0,2,0
383,0,0,0,0
384,1,1,0,0
385,2,0,1,0
386,0,1,0,0
387,1,0,0,0
388,0,0,0,2
389,2,0,1,2
390,2,2,0,2
391,2,0,0,0
392,0,0,1,0
393,1,1,1,0
394,1,1,0,0
395,0,1,0,0
396,3,0,0,0
397,0,0,1,1
398,0,3,0,1
399,0,0,0,0
400,1,0,0,0
401,0,0,0,0
402,0,0,2,2
403,2,0,0,3
404,0,2,0,3
405,0,0,1,0
406,0,0,0,0
407,0,1,0,0
408,1,0,1,0
409,0,0,0,1
410,2,0,2,0
411,0,0,0,0
412,0,3,0,1
413,1,0,0,0
414,0,0,0,0
415,0,0,0,0
416,0,0,1,0
417,1,1,0,0
418,0,1,0,0
419,4,0,0,2
420,0,0,2,2
421,1,0,1,4
422,3,1,1,0
423,6,1,1,0
424,0,1,0,2
425,0,1,0,2
426,1,0,0,0
